-1.024e0 -1.024e0 2.0971542e0 2.0971542e0
-9.38667e-1 -1.024e0 1.9296727e0 1.9296727e0
-8.53334e-1 -1.024e0 1.776756e0 1.776756e0
-7.680011e-1 -1.024e0 1.6384027e0 1.6384027e0
-6.82668e-1 -1.024e0 1.5146126e0 1.5146126e0
-5.97335e-1 -1.024e0 1.4053862e0 1.4053862e0
-5.120021e-1 -1.024e0 1.3107233e0 1.3107233e0
-4.26669e-1 -1.024e0 1.2306235e0 1.2306235e0
-3.41336e-1 -1.024e0 1.1650873e0 1.1650873e0
-2.560031e-1 -1.024e0 1.1141147e0 1.1141147e0
-1.7067e-1 -1.024e0 1.0777052e0 1.0777052e0
-8.5337e-2 -1.024e0 1.0558594e0 1.0558594e0
-4.0e-6 -1.024e0 1.0485771e0 1.0485771e0
8.5329e-2 -1.024e0 1.0558582e0 1.0558582e0
1.70662e-1 -1.024e0 1.0777025e0 1.0777025e0
2.55995e-1 -1.024e0 1.1141106e0 1.1141106e0
3.41328e-1 -1.024e0 1.1650818e0 1.1650818e0
4.266609e-1 -1.024e0 1.2306166e0 1.2306166e0
5.119939e-1 -1.024e0 1.3107147e0 1.3107147e0
5.97327e-1 -1.024e0 1.4053766e0 1.4053766e0
6.826599e-1 -1.024e0 1.5146016e0 1.5146016e0
7.679929e-1 -1.024e0 1.63839e0 1.63839e0
8.53326e-1 -1.024e0 1.7767422e0 1.7767422e0
9.386589e-1 -1.024e0 1.9296576e0 1.9296576e0
1.0239919e0 -1.024e0 2.0971355e0 2.0971355e0

-1.024e0 -9.38667e-1 1.9296727e0 1.9296727e0
-9.38667e-1 -9.38667e-1 1.76219144e0 1.76219144e0
-8.53334e-1 -9.38667e-1 1.6092747e0 1.6092747e0
-7.680011e-1 -9.38667e-1 1.4709214e0 1.4709214e0
-6.82668e-1 -9.38667e-1 1.34713132e0 1.34713132e0
-5.97335e-1 -9.38667e-1 1.23790488e0 1.23790488e0
-5.120021e-1 -9.38667e-1 1.14324187e0 1.14324187e0
-4.26669e-1 -9.38667e-1 1.06314215e0 1.06314215e0
-3.41336e-1 -9.38667e-1 9.9760602e-1 9.9760602e-1
-2.560031e-1 -9.38667e-1 9.466333e-1 9.466333e-1
-1.7067e-1 -9.38667e-1 9.1022397e-1 9.1022397e-1
-8.5337e-2 -9.38667e-1 8.8837811e-1 8.8837811e-1
-4.0e-6 -9.38667e-1 8.8109572e-1 8.8109572e-1
8.5329e-2 -9.38667e-1 8.8837675e-1 8.8837675e-1
1.70662e-1 -9.38667e-1 9.102212e-1 9.102212e-1
2.55995e-1 -9.38667e-1 9.4662917e-1 9.4662917e-1
3.41328e-1 -9.38667e-1 9.9760051e-1 9.9760051e-1
4.266609e-1 -9.38667e-1 1.06313525e0 1.06313525e0
5.119939e-1 -9.38667e-1 1.14323343e0 1.14323343e0
5.97327e-1 -9.38667e-1 1.23789522e0 1.23789522e0
6.826599e-1 -9.38667e-1 1.34712027e0 1.34712027e0
7.679929e-1 -9.38667e-1 1.47090875e0 1.47090875e0
8.53326e-1 -9.38667e-1 1.60926091e0 1.60926091e0
9.386589e-1 -9.38667e-1 1.76217625e0 1.76217625e0
1.0239919e0 -9.38667e-1 1.929654e0 1.929654e0

-1.024e0 -8.53334e-1 1.776756e0 1.776756e0
-9.38667e-1 -8.53334e-1 1.6092747e0 1.6092747e0
-8.53334e-1 -8.53334e-1 1.45635797e0 1.45635797e0
-7.680011e-1 -8.53334e-1 1.31800467e0 1.31800467e0
-6.82668e-1 -8.53334e-1 1.19421458e0 1.19421458e0
-5.97335e-1 -8.53334e-1 1.08498814e0 1.08498814e0
-5.120021e-1 -8.53334e-1 9.9032513e-1 9.9032513e-1
-4.26669e-1 -8.53334e-1 9.1022542e-1 9.1022542e-1
