
# Surface 0 of 1 surfaces

# Curve title: "x * x + y * y"

# IsoCurve 0, 25 points
# x y z type
-1.0240000e+00 -6.8266667e-01 1.5146098e+00 i
-9.3866667e-01 -6.8266667e-01 1.3471289e+00 i
-8.5333333e-01 -6.8266667e-01 1.1942116e+00 i
-7.6800000e-01 -6.8266667e-01 1.0558578e+00 i
-6.8266667e-01 -6.8266667e-01 9.3206756e-01 i
-5.9733333e-01 -6.8266667e-01 8.2284089e-01 i
-5.1200000e-01 -6.8266667e-01 7.2817778e-01 i
-4.2666667e-01 -6.8266667e-01 6.4807822e-01 i
-3.4133333e-01 -6.8266667e-01 5.8254222e-01 i
-2.5600000e-01 -6.8266667e-01 5.3156978e-01 i
-1.7066667e-01 -6.8266667e-01 4.9516089e-01 i
-8.5333333e-02 -6.8266667e-01 4.7331556e-01 i
0.0000000e+00 -6.8266667e-01 4.6603378e-01 i
8.5333333e-02 -6.8266667e-01 4.7331556e-01 i
1.7066667e-01 -6.8266667e-01 4.9516089e-01 i
2.5600000e-01 -6.8266667e-01 5.3156978e-01 i
3.4133333e-01 -6.8266667e-01 5.8254222e-01 i
4.2666667e-01 -6.8266667e-01 6.4807822e-01 i
5.1200000e-01 -6.8266667e-01 7.2817778e-01 i
5.9733333e-01 -6.8266667e-01 8.2284089e-01 i
6.8266667e-01 -6.8266667e-01 9.3206756e-01 i
7.6800000e-01 -6.8266667e-01 1.0558578e+00 i
8.5333333e-01 -6.8266667e-01 1.1942116e+00 i
9.3866667e-01 -6.8266667e-01 1.3471289e+00 i
1.0240000e+00 -6.8266667e-01 1.5146098e+00 i

# IsoCurve 5, 25 points
# x y z type
-1.0240000e+00 -5.9733333e-01 1.4053831e+00 i
-9.3866667e-01 -5.9733333e-01 1.2379022e+00 i
-8.5333333e-01 -5.9733333e-01 1.0849849e+00 i
-7.6800000e-01 -5.9733333e-01 9.4663111e-01 i
-6.8266667e-01 -5.9733333e-01 8.2284089e-01 i
-5.9733333e-01 -5.9733333e-01 7.1361422e-01 i
-5.1200000e-01 -5.9733333e-01 6.1895111e-01 i
-4.2666667e-01 -5.9733333e-01 5.3885156e-01 i
-3.4133333e-01 -5.9733333e-01 4.7331556e-01 i
-2.5600000e-01 -5.9733333e-01 4.2234311e-01 i
-1.7066667e-01 -5.9733333e-01 3.8593422e-01 i
-8.5333333e-02 -5.9733333e-01 3.6408889e-01 i
0.0000000e+00 -5.9733333e-01 3.5680711e-01 i
8.5333333e-02 -5.9733333e-01 3.6408889e-01 i
1.7066667e-01 -5.9733333e-01 3.8593422e-01 i
2.5600000e-01 -5.9733333e-01 4.2234311e-01 i
3.4133333e-01 -5.9733333e-01 4.7331556e-01 i
4.2666667e-01 -5.9733333e-01 5.3885156e-01 i
5.1200000e-01 -5.9733333e-01 6.1895111e-01 i
5.9733333e-01 -5.9733333e-01 7.1361422e-01 i
6.8266667e-01 -5.9733333e-01 8.2284089e-01 i
7.6800000e-01 -5.9733333e-01 9.4663111e-01 i
8.5333333e-01 -5.9733333e-01 1.0849849e+00 i
9.3866667e-01 -5.9733333e-01 1.2379022e+00 i
1.0240000e+00 -5.9733333e-01 1.4053831e+00 i

# IsoCurve 6, 25 points
# x y z type
-1.0240000e+00 -5.1200000e-01 1.3107200e+00 i
-9.3866667e-01 -5.1200000e-01 1.1432391e+00 i
-8.5333333e-01 -5.1200000e-01 9.9032178e-01 i
-7.6800000e-01 -5.1200000e-01 8.5196800e-01 i
-6.8266667e-01 -5.1200000e-01 7.2817778e-01 i
-5.9733333e-01 -5.1200000e-01 6.1895111e-01 i
-5.1200000e-01 -5.1200000e-01 5.2428800e-01 i
-4.2666667e-01 -5.1200000e-01 4.4418844e-01 i
-3.4133333e-01 -5.1200000e-01 3.7865244e-01 i
-2.5600000e-01 -5.1200000e-01 3.2768000e-01 i
-1.7066667e-01 -5.1200000e-01 2.9127111e-01 i
-8.5333333e-02 -5.1200000e-01 2.6942578e-01 i
0.0000000e+00 -5.1200000e-01 2.6214400e-01 i
8.5333333e-02 -5.1200000e-01 2.6942578e-01 i
1.7066667e-01 -5.1200000e-01 2.9127111e-01 i
2.5600000e-01 -5.1200000e-01 3.2768000e-01 i
3.4133333e-01 -5.1200000e-01 3.7865244e-01 i
4.2666667e-01 -5.1200000e-01 4.4418844e-01 i
5.1200000e-01 -5.1200000e-01 5.2428800e-01 i
5.9733333e-01 -5.1200000e-01 6.1895111e-01 i
6.8266667e-01 -5.1200000e-01 7.2817778e-01 i
7.6800000e-01 -5.1200000e-01 8.5196800e-01 i
8.5333333e-01 -5.1200000e-01 9.9032178e-01 i
9.3866667e-01 -5.1200000e-01 1.1432391e+00 i
1.0240000e+00 -5.1200000e-01 1.3107200e+00 i

# IsoCurve 7, 25 points
# x y z type
-1.0240000e+00 -4.2666667e-01 1.2306204e+00 i
-9.3866667e-01 -4.2666667e-01 1.0631396e+00 i
-8.5333333e-01 -4.2666667e-01 9.1022222e-01 i
-7.6800000e-01 -4.2666667e-01 7.7186844e-01 i
-6.8266667e-01 -4.2666667e-01 6.4807822e-01 i
-5.9733333e-01 -4.2666667e-01 5.3885156e-01 i
-5.1200000e-01 -4.2666667e-01 4.4418844e-01 i
-4.2666667e-01 -4.2666667e-01 3.6408889e-01 i
-3.4133333e-01 -4.2666667e-01 2.9855289e-01 i
-2.5600000e-01 -4.2666667e-01 2.4758044e-01 i
-1.7066667e-01 -4.2666667e-01 2.1117156e-01 i
-8.5333333e-02 -4.2666667e-01 1.8932622e-01 i
0.0000000e+00 -4.2666667e-01 1.8204444e-01 i
8.5333333e-02 -4.2666667e-01 1.8932622e-01 i
1.7066667e-01 -4.2666667e-01 2.1117156e-01 i
2.5600000e-01 -4.2666667e-01 2.4758044e-01 i
3.4133333e-01 -4.2666667e-01 2.9855289e-01 i
4.2666667e-01 -4.2666667e-01 3.6408889e-01 i
5.1200000e-01 -4.2666667e-01 4.4418844e-01 i
5.9733333e-01 -4.2666667e-01 5.3885156e-01 i
6.8266667e-01 -4.2666667e-01 6.4807822e-01 i
7.6800000e-01 -4.2666667e-01 7.7186844e-01 i
8.5333333e-01 -4.2666667e-01 9.1022222e-01 i
9.3866667e-01 -4.2666667e-01 1.0631396e+00 i
1.0240000e+00 -4.2666667e-01 1.2306204e+00 i

# IsoCurve 8, 25 points
# x y z type
-1.0240000e+00 -3.4133333e-01 1.1650844e+00 i
-9.3866667e-01 -3.4133333e-01 9.9760356e-01 i
-8.5333333e-01 -3.4133333e-01 8.4468622e-01 i
-7.6800000e-01 -3.4133333e-01 7.0633244e-01 i
